,id_x,code_4,dsd_name_x,dsd_wrong_name,Poor,Severely Poor,Transient,Vulnerable
0,,7109,Medawachchiya,Medawachchiya,1341.0,400.0,781.0,871.0
1,,7103,Padaviya,Padaviya,662.0,221.0,395.0,443.0
2,,9124,Pelmadulla,Pelmadulla,5975.0,3766.0,2358.0,2075.0
3,,7106,Kebithigollewa,Kebithigollewa,685.0,278.0,408.0,407.0
4,,9121,Opanayaka,Opanayaka,1399.0,944.0,603.0,558.0
5,,9115,Imbulpe,Imbulpe,2571.0,1816.0,1075.0,930.0
6,,9118,Balangoda,Balangoda,2113.0,1229.0,1037.0,863.0
7,,9112,Ratnapura,Ratnapura,3797.0,2259.0,1748.0,1268.0
8,,9109,Kiriella,Kiriella,1869.0,875.0,951.0,792.0
9,,9103,Eheliyagoda,Eheliyagoda,2978.0,1461.0,1517.0,1118.0
10,,3109,Karandeniya,Karandeniya,2226.0,876.0,1845.0,1408.0
11,,9106,Kuruwita,Kuruvita,5670,2782,2545,1972
12,,3103,Bentota,Benthos,1718,745,1077,874
13,,5124,Kattankudy,Kattankudy,1360.0,682.0,634.0,678.0
14,,3106,Balapitiya,Balapitiya,1347.0,962.0,460.0,469.0
15,,7139,Nochchiyagama,Nochchiyagama,1639.0,419.0,1088.0,1296.0
16,,5121,Manmunai West,Manmunai West,2145.0,858.0,1089.0,864.0
17,,7142,Rajanganaya,Rajanganaya,1063.0,315.0,679.0,782.0
18,,5115,Eravur Town,Eravur Town,1809.0,889.0,759.0,974.0
19,,7136,Nachchadoowa,Nachchadoowa,835.0,221.0,522.0,598.0
20,,5118,Manmunai North,Manmunai North,4171.0,1419.0,1726.0,1840.0
21,,9151,Kolonna,Kolonna,2902.0,1681.0,1279.0,983.0
22,,5112,Eravur Pattu,Eravur Pattu,4454.0,1998.0,1996.0,1994.0
23,,7133,Nuwaragam Palatha East,Nuwaragam Palatha East,1249.0,358.0,812.0,992.0
24,,7127,Galenbidunuwawe,Galenbindunuwewa,1843,519,1163,1342
25,,9148,Embilipitiya,Embilipitiya,8187.0,3040.0,4345.0,3472.0
26,,5109,Koralai Pattu (Valach.),Koralai Pattu (Valachchenai),1822,732,831,733
27,,7130,Mihintale,Mihinthale,1190,339,600,832
28,,5110,Koralai Pattu South,Koralai Pattu South (Kiran),2286,1139,867,862
29,,5103,Koralai Pattu North,Koralai Pattu North,2615.0,1111.0,983.0,962.0
30,,7124,Horowpothana,Horowpothana,1220.0,399.0,748.0,873.0
31,,5104,Koralai Pattu Central,Koralaipattu Central,1206,480,621,724
32,,6115,Kotavehera,Kotavehera,1037.0,365.0,550.0,430.0
33,,9145,Weligepola,Weligepola,2277.0,1115.0,1065.0,827.0
34,,5106,Korale Pattu  West,Koralai Pattu West (Oddamavadi),1112,541,428,633
35,,9139,Kahawaththa,Kahawatta,2702,2296,951,785
36,,6118,Rasnayakapura,Rasnayakapura,824.0,291.0,547.0,412.0
37,,7121,Kahatagasdigiliya,Kahatagasdigiliya,1356.0,393.0,878.0,938.0
38,,6112,Ambanpola,Ambanpola,936.0,347.0,576.0,453.0
39,,9142,Godakawela,Godakawela,4424.0,3165.0,1647.0,1533.0
40,,8133,Bandarawela,Bandarawela,2294.0,1779.0,285.0,678.0
41,,7115,Nuwaragam Palatha Central,Nuwaragam Palatha Central,1854.0,568.0,1037.0,1328.0
42,,3139,Galle Four Gravets,Galle Four Gravets,2713.0,822.0,2037.0,1567.0
43,,9136,Nivithigala,Nivithigala,3854.0,2920.0,1385.0,1093.0
44,,8127,Uva Paranagama,Uva-Paranagama,3786,2252,609,1069
45,,7118,Rambewa,Rambewa,1405.0,480.0,743.0,881.0
46,,3142,Bope-Poddala,Bope-Poddala,1358.0,726.0,706.0,557.0
47,,6109,Ehetuwewa,Ehetuwewa,936.0,309.0,596.0,519.0
48,,3136,Hikkaduwa,Hikkaduwa,1114.0,654.0,664.0,487.0
49,,8130,Welimada,Welimada,2519.0,2269.0,184.0,524.0
50,,7112,Maha Vilachchiya,Mahavilachchiya,595,190,441,458
51,,6103,Giribawa,Giribawa,1442.0,508.0,785.0,724.0
52,,9133,Kalawana,Kalawana,2514.0,1578.0,1109.0,887.0
