"code_4","total","y0_4","y5_9","y10_14","y15_19","y20_24","y25_29","y30_34","y35_39","y40_44","y45_49","y50_54","y55_59","y60_64","y65_69","y70_74","y75_79","y80_84","y85_89","y90_94","y95_above"
"1103",323257,27341,28344,27142,27655,27619,25039,25809,21753,22110,20961,19752,15902,13167,8963,5297,3273,1796,726,268,340
"1106",191687,15762,16438,15221,15286,14461,14198,15576,14358,14030,12846,11738,9688,8384,5721,3501,2318,1264,551,190,156
"1109",252041,17855,18277,17063,18004,19313,19917,21259,19843,18915,16857,15765,13737,12471,9155,5707,3872,2275,1101,430,225
"1112",237905,18125,17950,15884,17177,18081,19008,21381,19382,17725,15430,13989,12246,10736,8031,5310,3700,2084,1007,386,273
"1115",113807,9424,9074,7870,8512,8882,9586,10351,8628,7560,6548,6374,5578,5504,4054,2446,1753,895,483,168,117
"1118",65267,5084,5179,4577,4628,4343,4925,5674,5134,4722,4175,3746,3435,3166,2457,1621,1157,700,339,125,80
"1121",196423,12139,12955,12370,14069,18704,16300,15733,14536,14193,12807,12342,10863,9824,7729,4933,3323,2027,983,367,226
"1124",107925,6034,6900,6867,7716,9232,8879,8096,7400,7684,7330,7329,6528,5693,4531,3103,2218,1350,672,252,111
"1127",238057,14441,15738,16765,17593,21102,20012,18779,17105,17045,15946,15246,13120,11496,8889,5999,4306,2520,1239,453,263
"1130",88962,5583,5898,5930,6865,7797,7172,6583,6118,5924,5649,5598,4999,4926,3800,2472,1748,1041,537,201,121
"1131",95506,6364,6478,6402,7511,8224,8026,7726,6671,6378,6171,6139,5217,4817,3647,2305,1622,1032,478,180,118
"1133",168280,11487,12193,11805,13080,15939,13880,14230,11564,11378,10872,10426,9136,8089,5710,3626,2365,1422,641,272,165
"1136",245232,16966,17469,16510,17751,20327,19741,20421,18674,17960,16350,15297,13407,12208,8984,5532,3704,2223,1111,381,216
"1203",142136,11262,11978,11560,12302,11120,11017,12063,10074,9587,8774,8413,7199,6446,4413,2610,1615,1005,436,153,109
"1206",235291,17143,17495,15898,20284,24812,24206,22689,17680,15835,13755,12307,10166,8746,5851,3529,2421,1399,695,221,159
"1209",144506,11056,11161,10598,10728,10114,11267,12507,10654,10289,9530,8825,7984,7198,4970,3118,2289,1265,637,210,106
"1212",164580,12933,12574,12504,12169,11396,11963,13614,11759,11758,10831,10289,9357,8243,5815,3800,2641,1677,837,269,151
"1215",178331,14093,14136,13155,12874,12302,13396,15226,13492,13188,11976,10952,9544,8493,6000,3813,2831,1683,767,254,156
"1218",175525,13393,14168,13537,14107,13803,13920,15015,12879,12351,11205,10462,9024,7907,5864,3499,2186,1295,585,206,119
"1221",201521,15092,15601,14731,15581,15678,16053,17553,14946,14175,12874,12221,10980,9499,6870,4174,2725,1574,777,232,185
"1224",197667,14319,15269,14519,14548,13538,13840,15893,14789,15086,13772,12660,11046,9602,7193,4754,3341,2032,973,306,187
