household_ID,room_ID,ac_ID,type_of_the_ac,is_the_ac_inverter_or_not,is_room_fully_sealed,wattage_of_the_ac,btu_of_the_ac,no_of_hours_ac_was_on_during_daytime_last_week,no_of_hours_ac_was_on_during_night_last_week
ID0012,I_3,I_3_AC_1,4,1,1,1500.0,999,0.0,45.0
ID0014,I_3,I_3_AC_1,6,2,1,0.0,999,0.0,0.0
ID0018,I_5,I_5_AC_1,3,1,1,2000.0,999,0.0,56.0
ID0025,I_2,I_2_AC_1,1,1,1,0.0,999,0.0,0.0
ID0039,I_8,I_8_AC_1,3,1,1,0.0,999,12.0,12.0
ID0039,I_9,I_9_AC_1,3,1,1,0.0,9000,12.0,12.0
ID0041,I_8,I_8_AC_1,5,1,1,0.0,999,0.0,21.0
ID0043,I_3,I_3_AC_1,3,2,1,0.0,999,0.0,0.0
ID0043,I_18,I_18_AC_1,3,2,1,0.0,999,42.0,21.0
ID0043,I_19,I_19_AC_1,3,2,1,0.0,999,42.0,42.0
ID0043,I_20,I_20_AC_1,3,2,1,0.0,999,0.0,0.0
ID0054,I_13,I_13_AC_1,4,2,1,0.0,999,0.0,0.0
ID0066,I_2,I_2_AC_1,3,2,2,0.0,9000,0.0,42.0
ID0066,I_16,I_16_AC_1,3,2,2,0.0,999,0.0,51.0
ID0066,I_17,I_17_AC_1,3,2,2,0.0,999,0.0,51.0
ID0066,I_18,I_18_AC_1,3,2,2,0.0,9000,0.0,0.0
ID0069,I_1,I_1_AC_1,1,2,1,1000.0,999,0.0,63.0
ID0069,I_2,I_2_AC_1,1,2,1,1000.0,999,0.0,63.0
ID0069,I_3,I_3_AC_1,1,2,1,1000.0,999,0.0,63.0
ID0069,I_5,I_5_AC_1,1,2,1,1000.0,999,0.0,63.0
ID0069,I_6,I_6_AC_1,1,2,1,1000.0,999,0.0,63.0
ID0069,I_7,I_7_AC_1,1,2,1,1000.0,999,0.0,63.0
ID0069,I_8,I_8_AC_1,1,2,1,1000.0,999,0.0,63.0
ID0072,I_3,I_3_AC_1,3,1,1,250.0,999,0.0,1.0
ID0077,I_2,I_2_AC_1,3,1,1,0.0,999,0.0,1.66
ID0079,I_2,I_2_AC_1,4,2,1,0.0,999,0.0,0.0
ID0079,I_3,I_3_AC_1,4,2,1,0.0,999,0.0,0.0
ID0081,I_2,I_2_AC_1,1,2,1,0.0,999,0.0,0.0
ID0083,I_2,I_2_AC_1,3,1,1,0.0,999,2.0,2.0
ID0083,I_9,I_9_AC_1,3,1,1,0.0,999,0.0,0.0
ID0083,I_10,I_10_AC_1,3,1,1,0.0,999,0.0,0.0
ID0083,I_11,I_11_AC_1,3,1,1,0.0,999,0.0,0.0
ID0083,I_11,I_11_AC_2,3,1,1,0.0,0,0.0,0.0
ID0083,I_11,I_11_AC_3,3,1,1,0.0,0,0.0,0.0
ID0083,I_12,I_12_AC_1,3,1,1,0.0,999,0.0,0.0
ID0083,I_13,I_13_AC_1,3,1,1,0.0,999,0.0,0.0
ID0083,I_14,I_14_AC_1,3,1,1,0.0,999,0.0,0.0
ID0093,I_3,I_3_AC_1,4,1,1,0.0,9000,0.0,0.0
ID0103,I_2,I_2_AC_1,3,1,1,0.0,12000,0.0,7.0
