household_ID,appliance_ID,appliance_type,no_of_hours_used_during_last_week
ID0001,O_1_1,1,84.0
ID0001,O_12_1,12,3.0
ID0001,O_26_1,26,1.0
ID0001,O_31_1,31,0.0
ID0001,O_45_1,45,5.0
ID0001,O_45_2,45,5.0
ID0001,O_47_1,47,
ID0001,O_47_2,47,
ID0002,O_1_1,1,168.0
ID0002,O_12_1,12,0.0
ID0002,O_33_1,33,
ID0002,O_45_1,45,
ID0003,O_1_1,1,168.0
ID0003,O_4_1,4,0.66
ID0003,O_6_1,6,0.35
ID0003,O_8_1,8,0.25
ID0003,O_12_1,12,7.0
ID0003,O_13_1,13,0.5
ID0003,O_15_1,15,1.75
ID0003,O_24_1,24,5.0
ID0003,O_26_1,26,0.25
ID0003,O_27_1,27,1.0
ID0003,O_31_1,31,1.0
ID0003,O_33_1,33,
ID0003,O_41_1,41,20.0
ID0003,O_43_1,43,20.0
ID0003,O_44_1,44,
ID0003,O_45_1,45,
ID0003,O_48_1,48,0.75
ID0003,O_50_1,50,
ID0003,O_72_1,72,
ID0004,O_1_1,1,168.0
ID0004,O_4_1,4,0.0
ID0004,O_8_1,8,1.5
ID0004,O_12_1,12,5.0
ID0004,O_13_1,13,0.0
ID0004,O_15_1,15,0.0
ID0004,O_17_1,17,0.0
ID0004,O_24_1,24,2.0
ID0004,O_26_1,26,2.5
ID0004,O_31_1,31,39.0
ID0004,O_33_1,33,
ID0004,O_45_1,45,
ID0004,O_45_2,45,
ID0004,O_46_1,46,
ID0004,O_46_2,46,
ID0004,O_62_1,62,
ID0005,O_1_1,1,168.0
ID0005,O_2_1,2,168.0
ID0005,O_9_1,9,0.25
ID0005,O_12_1,12,7.0
ID0005,O_13_1,13,1.25
ID0005,O_24_1,24,4.0
ID0005,O_26_1,26,1.0
ID0005,O_31_1,31,42.0
ID0005,O_45_1,45,
ID0005,O_45_2,45,
ID0005,O_48_1,48,
ID0006,O_1_1,1,168.0
ID0006,O_8_1,8,0.0
ID0006,O_26_1,26,1.15
ID0006,O_31_1,31,73.0
ID0006,O_33_1,33,
ID0006,O_40_1,40,1.0
ID0006,O_42_1,42,
ID0006,O_45_1,45,
ID0006,O_45_2,45,
ID0006,O_45_3,45,
ID0007,O_1_1,1,168.0
ID0007,O_8_1,8,1.0
ID0007,O_13_1,13,0.33
ID0007,O_15_1,15,0.0
ID0007,O_26_1,26,1.5
ID0007,O_33_1,33,
ID0007,O_45_1,45,
ID0007,O_45_2,45,
ID0007,O_68_1,68,
ID0008,O_1_1,1,168.0
ID0008,O_8_1,8,1.0
ID0008,O_12_1,12,1.5
ID0008,O_13_1,13,7.0
ID0008,O_15_1,15,0.25
ID0008,O_26_1,26,5.0
ID0008,O_31_1,31,5.0
ID0008,O_43_1,43,7.0
ID0008,O_43_2,43,7.0
ID0008,O_43_3,43,7.0
ID0008,O_44_1,44,7.0
ID0008,O_45_1,45,
ID0008,O_45_2,45,
ID0008,O_45_3,45,
ID0008,O_45_4,45,
ID0008,O_46_1,46,
ID0008,O_62_1,62,
ID0009,O_1_1,1,35.0
ID0009,O_26_1,26,0.33
ID0009,O_34_1,34,
ID0009,O_45_1,45,
ID0009,O_46_1,46,
ID0010,O_1_1,1,168.0
ID0010,O_8_1,8,2.0
ID0010,O_12_1,12,2.0
ID0010,O_15_1,15,0.75
ID0010,O_26_1,26,3.5
ID0010,O_31_1,31,35.0
ID0010,O_32_1,32,
ID0010,O_34_1,34,
ID0010,O_45_1,45,10.0
ID0010,O_47_1,47,
ID0010,O_67_1,67,
ID0010,O_72_1,72,
ID0011,O_1_1,1,168.0
ID0011,O_8_1,8,0.25
ID0011,O_12_1,12,0.33
ID0012,O_1_1,1,168.0
ID0012,O_1_2,1,168.0
ID0012,O_4_1,4,12.0
ID0012,O_8_1,8,7.0
ID0012,O_8_2,8,7.0
ID0012,O_10_1,10,4.0
ID0012,O_12_1,12,6.0
ID0012,O_12_2,12,6.0
ID0012,O_13_1,13,8.0
ID0012,O_13_2,13,6.0
ID0012,O_14_1,14,0.47
ID0012,O_14_2,14,0.25
ID0012,O_15_1,15,2.0
ID0012,O_24_1,24,7.0
ID0012,O_24_2,24,3.0
ID0012,O_26_1,26,3.0
ID0012,O_26_2,26,2.0
ID0012,O_27_1,27,0.25
ID0012,O_31_1,31,35.0
ID0012,O_31_2,31,10.0
ID0012,O_43_1,43,14.0
ID0012,O_43_2,43,12.0
ID0012,O_44_1,44,
ID0012,O_45_1,45,8.0
ID0012,O_45_2,45,
ID0012,O_45_3,45,
ID0012,O_45_4,45,
ID0012,O_47_1,47,
ID0012,O_48_1,48,1.0
ID0012,O_50_1,50,
ID0012,O_54_1,54,
ID0012,O_72_1,72,
ID0013,O_1_1,1,168.0
ID0013,O_8_1,8,0.5
ID0013,O_12_1,12,0.0
ID0013,O_13_1,13,1.0
ID0013,O_24_1,24,0.5
ID0013,O_26_1,26,1.0
ID0013,O_31_1,31,14.0
ID0013,O_33_1,33,
ID0013,O_45_1,45,
ID0013,O_48_1,48,
ID0014,O_1_1,1,168.0
ID0014,O_12_1,12,7.0
ID0014,O_13_1,13,1.3
ID0014,O_15_1,15,0.0
ID0014,O_24_1,24,3.5
ID0014,O_26_1,26,1.45
ID0014,O_31_1,31,6.0
