household_ID,member_ID,age,relationship_to_the_head_of_household,gender,ethnicity,religion,marital_status,current_attendance_in_any_education_instituition,highest_level_of_education,main_activity_engaged_in,main_occupation,daily_wage_owner_or_not,employment_status_of_the_main_occupation,no_of_hours_stayed_at_home_during_last_week,member_went_out_for_work_or_not_during_last_week
ID0001,I_1,71,1,0,1,1,2,8.0,14.0,2.0,99.0,2.0,1.0,168.0,3.0
ID0001,I_2,66,2,1,1,1,2,8.0,14.0,7.0,,,,168.0,
ID0001,I_3,32,3,0,1,1,2,8.0,17.0,1.0,2.0,2.0,1.0,70.0,1.0
ID0001,I_4,30,4,1,1,1,2,8.0,17.0,1.0,2.0,2.0,1.0,150.0,1.0
ID0002,I_1,85,1,0,1,1,2,8.0,7.0,4.0,,,,168.0,
ID0002,I_2,66,5,0,1,1,2,8.0,14.0,2.0,7.0,2.0,3.0,0.0,2.0
ID0002,I_3,59,3,1,1,1,2,8.0,14.0,2.0,4.0,2.0,1.0,168.0,3.0
ID0003,I_1,44,1,0,1,1,2,8.0,16.0,2.0,2.0,2.0,1.0,100.0,1.0
ID0003,I_2,41,2,1,1,1,2,8.0,17.0,2.0,2.0,2.0,1.0,100.0,1.0
ID0003,I_3,74,5,1,1,1,4,8.0,16.0,4.0,,,,168.0,
ID0003,I_4,11,3,0,1,1,1,2.0,7.0,,,,,100.0,
ID0004,I_1,35,1,0,1,1,2,8.0,14.0,1.0,9.0,2.0,4.0,70.0,1.0
ID0004,I_2,71,5,1,1,1,4,8.0,14.0,7.0,,,,70.0,
ID0004,I_3,32,2,1,1,1,2,8.0,14.0,7.0,,,,168.0,
ID0004,I_4,4,3,0,1,1,1,1.0,,,,,,148.0,
ID0005,I_1,57,1,0,1,1,2,8.0,11.0,1.0,2.0,1.0,5.0,84.0,1.0
ID0005,I_2,78,3,1,1,1,4,8.0,11.0,7.0,,,,168.0,
ID0006,I_1,48,1,0,2,2,3,8.0,9.0,1.0,5.0,1.0,3.0,112.0,1.0
ID0006,I_2,42,2,1,2,2,3,8.0,6.0,7.0,,,,168.0,
ID0006,I_3,22,3,1,2,2,1,8.0,14.0,1.0,2.0,1.0,3.0,0.0,1.0
ID0006,I_4,17,3,1,2,2,1,2.0,12.0,8.0,,,,144.0,
ID0006,I_5,16,3,0,2,2,1,2.0,11.0,8.0,,,,90.5,
ID0006,I_6,13,3,0,2,2,1,2.0,9.0,8.0,,,,109.0,
ID0007,I_1,38,1,0,2,2,3,8.0,12.0,1.0,7.0,1.0,5.0,116.0,1.0
ID0007,I_2,30,2,1,2,2,3,8.0,12.0,1.0,4.0,2.0,2.0,60.0,2.0
ID0007,I_3,12,3,0,2,2,1,2.0,8.0,8.0,,,,143.0,
ID0007,I_4,6,3,0,2,2,1,2.0,2.0,,,,,135.0,
ID0008,I_1,55,1,1,1,1,2,8.0,17.0,1.0,2.0,2.0,1.0,118.0,1.0
ID0008,I_2,60,2,0,1,1,2,8.0,14.0,7.0,,,,118.0,
ID0008,I_3,25,3,1,1,1,1,3.0,14.0,8.0,,,,48.0,
ID0008,I_4,21,3,1,1,1,1,3.0,14.0,8.0,,,,48.0,
ID0008,I_5,19,3,1,1,1,1,2.0,13.0,8.0,,,,118.0,
ID0009,I_1,24,1,1,1,1,1,8.0,14.0,1.0,5.0,2.0,3.0,70.0,1.0
ID0009,I_2,63,5,1,1,1,4,8.0,11.0,7.0,,,,72.0,
ID0010,I_1,74,1,1,1,1,4,8.0,8.0,1.0,11.0,1.0,5.0,84.0,1.0
ID0010,I_2,50,4,0,1,1,2,8.0,11.0,2.0,5.0,2.0,3.0,0.0,1.0
ID0010,I_3,49,3,1,1,1,2,8.0,12.0,7.0,,,,72.0,
ID0010,I_4,47,3,1,1,1,1,8.0,6.0,7.0,,,,150.0,
ID0010,I_5,42,3,0,1,1,1,8.0,0.0,9.0,,,,168.0,
ID0010,I_6,13,6,1,1,1,1,2.0,8.0,8.0,,,,100.0,
ID0010,I_7,10,6,1,1,1,1,2.0,5.0,,,,,100.0,
ID0011,I_1,45,1,0,1,1,2,8.0,15.0,1.0,4.0,2.0,1.0,16.0,1.0
ID0011,I_2,35,2,1,1,1,2,8.0,13.0,3.0,11.0,,6.0,21.0,3.0
ID0011,I_3,15,3,0,1,1,1,2.0,10.0,8.0,,,,16.0,
ID0011,I_4,9,3,0,1,1,1,2.0,3.0,,,,,16.0,
ID0011,I_5,5,3,0,1,1,1,2.0,0.0,,,,,16.0,
ID0012,I_1,45,1,0,1,1,2,8.0,16.0,2.0,2.0,2.0,3.0,84.0,1.0
ID0012,I_2,81,5,0,1,1,2,8.0,16.0,4.0,,,,168.0,
ID0012,I_3,80,5,1,1,1,2,8.0,16.0,4.0,,,,168.0,
ID0012,I_4,43,2,1,1,1,2,8.0,16.0,7.0,,,,168.0,
ID0012,I_5,17,3,0,1,1,1,2.0,12.0,8.0,,,,84.0,
ID0012,I_6,16,3,1,1,1,1,2.0,11.0,8.0,,,,84.0,
ID0012,I_7,8,3,0,1,1,1,2.0,4.0,,,,,84.0,
ID0013,I_1,75,1,0,1,1,4,8.0,16.0,4.0,,,,168.0,
ID0014,I_1,55,1,1,1,1,2,8.0,16.0,1.0,2.0,2.0,1.0,80.0,1.0
ID0014,I_2,57,2,0,1,1,2,8.0,16.0,1.0,2.0,2.0,1.0,118.0,1.0
ID0014,I_3,19,3,0,1,1,1,2.0,13.0,8.0,,,,150.0,
ID0014,I_4,16,3,0,1,1,1,2.0,12.0,8.0,,,,150.0,
ID0015,I_1,65,1,0,1,1,3,8.0,9.0,1.0,2.0,1.0,5.0,83.0,1.0
ID0015,I_2,50,2,1,1,4,3,8.0,12.0,2.0,4.0,1.0,1.0,96.0,1.0
ID0015,I_3,18,6,0,1,1,1,5.0,12.0,8.0,,,,113.0,
ID0016,I_1,70,1,0,1,1,2,8.0,9.0,6.0,,,,168.0,
ID0016,I_2,62,2,1,1,1,2,8.0,12.0,5.0,,,,168.0,
ID0016,I_3,33,3,0,1,1,1,8.0,12.0,2.0,4.0,2.0,2.0,80.0,1.0
ID0016,I_4,31,4,0,1,1,2,8.0,12.0,2.0,4.0,2.0,1.0,90.0,1.0
ID0016,I_5,29,3,1,1,1,2,8.0,17.0,3.0,11.0,,6.0,168.0,3.0
ID0017,I_1,28,1,0,1,1,1,8.0,12.0,4.0,,,,120.0,
ID0017,I_2,70,5,1,1,1,2,8.0,9.0,9.0,,,,168.0,
ID0017,I_3,32,109,1,1,1,2,8.0,12.0,7.0,,,,168.0,
ID0017,I_4,15,3,0,1,1,1,2.0,11.0,8.0,,,,72.0,
ID0018,I_1,54,1,0,1,1,2,8.0,17.0,2.0,1.0,2.0,3.0,60.0,2.0
ID0018,I_2,52,2,1,1,1,2,8.0,16.0,2.0,1.0,2.0,2.0,60.0,1.0
ID0018,I_3,86,5,1,1,1,4,8.0,12.0,9.0,,,,168.0,
ID0018,I_4,23,3,0,1,1,1,3.0,14.0,8.0,,,,60.0,
ID0018,I_5,20,3,0,1,1,1,4.0,14.0,8.0,,,,122.0,
