household_ID,room_ID,fan_ID,type_of_the_fan,no_of_hours_fan_was_on_during_daytime_last_week,no_of_hours_fan_was_on_during_night_last_week
ID0001,I_1,I_1_F_1,1,0.0,0.0
ID0001,I_2,I_2_F_1,1,0.0,0.0
ID0001,I_3,I_3_F_1,1,0.0,0.0
ID0001,I_4,I_4_F_1,1,0.0,0.0
ID0001,I_5,I_5_F_1,1,0.0,0.0
ID0002,I_1,I_1_F_1,3,0.0,14.0
ID0002,I_1,I_1_F_2,3,14.0,14.0
ID0002,I_2,I_2_F_1,3,14.0,2.0
ID0002,I_2,I_2_F_2,3,2.0,2.0
ID0002,I_3,I_3_F_1,3,0.0,14.0
ID0002,I_3,I_3_F_2,3,0.0,14.0
ID0002,I_4,I_4_F_1,3,0.0,14.0
ID0002,I_4,I_4_F_2,3,0.0,14.0
ID0002,I_5,I_5_F_1,3,0.0,14.0
ID0002,I_5,I_5_F_2,3,0.0,14.0
ID0002,I_6,I_6_F_1,3,0.0,14.0
ID0002,I_6,I_6_F_2,3,14.0,14.0
ID0002,I_7,I_7_F_1,3,0.0,14.0
ID0002,I_7,I_7_F_2,3,0.0,14.0
ID0003,I_1,I_1_F_1,3,2.0,35.0
ID0003,I_5,I_5_F_1,3,21.0,10.0
ID0004,I_5,I_5_F_1,3,0.0,8.0
ID0005,I_1,I_1_F_1,1,0.0,21.0
ID0005,I_2,I_2_F_1,1,56.0,56.0
ID0006,I_1,I_1_F_1,1,31.0,36.0
ID0006,I_2,I_2_F_1,4,48.0,98.0
ID0006,I_3,I_3_F_1,1,21.0,77.0
ID0007,I_2,I_2_F_1,3,0.0,56.0
ID0008,I_1,I_1_F_1,1,0.0,0.0
ID0008,I_2,I_2_F_1,1,0.0,0.0
ID0008,I_5,I_5_F_1,1,0.0,0.0
ID0008,I_6,I_6_F_1,1,0.0,0.0
ID0010,I_4,I_4_F_1,3,2.0,8.0
ID0011,I_1,I_1_F_1,3,7.0,7.0
ID0011,I_2,I_2_F_1,3,7.0,7.0
ID0011,I_3,I_3_F_1,3,0.0,14.0
ID0011,I_4,I_4_F_1,3,0.0,14.0
ID0011,I_5,I_5_F_1,3,0.0,14.0
ID0011,I_6,I_6_F_1,3,0.0,14.0
ID0011,I_7,I_7_F_1,3,0.0,14.0
ID0012,I_1,I_1_F_1,1,14.0,2.0
ID0012,I_2,I_2_F_1,3,20.0,45.0
ID0012,I_3,I_3_F_1,3,6.0,24.0
ID0012,I_5,I_5_F_1,3,0.0,36.0
ID0012,I_6,I_6_F_1,3,0.0,42.0
ID0013,I_1,I_1_F_1,1,0.0,0.0
ID0013,I_2,I_2_F_1,1,0.0,0.0
ID0013,I_3,I_3_F_1,1,0.0,0.0
ID0013,I_4,I_4_F_1,1,0.0,0.0
ID0013,I_9,I_9_F_1,3,0.0,8.0
ID0013,I_9,I_9_F_2,1,0.0,0.0
ID0014,I_1,I_1_F_1,1,14.0,7.0
ID0014,I_1,I_1_F_2,2,0.0,0.0
ID0014,I_2,I_2_F_1,1,21.0,45.0
ID0014,I_3,I_3_F_1,3,14.0,14.0
ID0014,I_4,I_4_F_1,3,0.0,21.0
ID0014,I_5,I_5_F_1,3,0.0,10.0
ID0015,I_1,I_1_F_1,1,11.0,29.0
ID0015,I_2,I_2_F_1,1,0.0,67.0
ID0015,I_3,I_3_F_1,3,0.0,0.0
ID0016,I_2,I_2_F_1,3,3.0,0.0
ID0016,I_3,I_3_F_1,3,42.0,48.0
ID0018,I_1,I_1_F_1,1,1.0,0.0
ID0018,I_1,I_1_F_2,1,0.0,0.0
