household_ID,no_of_electricity_meters,LECO_csc_area,own_the_house_or_living_on_rent,occupy_renters_boarders,awareness_of_electricity_consumption_of_renters,built_year_of_the_house,type_of_house,floor_which_house_located,no_of_storeys,floor_area,no_of_household_members,charging_method_of_renters_for_electricity,charged_method_for_rent_for_electricity,is_there_business_carried_out_in_the_household,type_of_business,whom_or_how_the_house_was_designed,availability_of_certificate_of_compliance,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,any_constructions_or_renovations_in_the_household,highest_level_of_education_of_the_chief_wage_earner,occupation_of_education_of_the_chief_wage_earner,socio_economic_class,total_monthly_expenditure_of_last_month,type_of_electricity_meter
ID0001,1,GALLE,1,3.0,,4,2,-1,,1500.0,4,,,0,,1.0,0.0,1,2.0,0,4,2,3,35000,2
ID0002,1,GALLE,1,3.0,,1,1,-1,,440.0,3,,,0,,5.0,1.0,1,2.0,0,5,1,4,40000,2
ID0003,1,GALLE,1,3.0,,2,1,-1,,2500.0,4,,,0,,1.0,0.0,1,1.0,0,7,6,1,250000,1
ID0004,1,BORALASGAMUWA,1,3.0,,5,2,-1,,2600.0,4,,,0,,1.0,0.0,2,3.0,0,6,11,1,100000,1
ID0005,1,KOLONNAWA,1,3.0,,5,5,10,1.0,480.0,2,,,0,,1.0,1.0,11,3.0,0,3,2,4,60000,1
ID0006,1,KOLONNAWA,1,3.0,,5,5,1,2.0,440.0,6,,,0,,5.0,1.0,2,3.0,0,3,1,5,100000,1
ID0007,1,KOLONNAWA,1,3.0,,5,5,2,1.0,480.0,4,,,0,,5.0,1.0,2,3.0,0,4,8,3,60000,1
ID0008,2,GALLE,1,3.0,,5,2,-1,,1400.0,5,,,0,,1.0,1.0,2,2.0,0,6,3,2,150000,1
ID0009,1,GALLE,1,3.0,,4,1,-1,,350.0,2,,,0,,1.0,0.0,1,2.0,0,4,2,3,15000,2
ID0010,1,GALLE,1,3.0,,3,1,-1,,1000.0,7,,,0,,1.0,0.0,1,1.0,0,3,1,5,50000,2
ID0011,1,GALLE,1,3.0,,5,2,-1,,500.0,5,,,0,,1.0,0.0,2,2.0,0,6,6,1,50000,1
ID0012,1,GALLE,1,3.0,,4,2,-1,,2900.0,7,,,0,,1.0,1.0,2,2.0,0,7,6,1,200000,1
ID0013,1,BORALASGAMUWA,1,1.0,1.0,2,1,-1,,2100.0,1,5.0,,0,,1.0,1.0,1,7.0,0,7,7,1,60000,1
ID0014,1,GALLE,1,3.0,,5,2,-1,,1000.0,4,,,0,,1.0,0.0,2,2.0,0,7,7,1,50000,1
ID0015,1,KOLONNAWA,1,3.0,,5,5,10,1.0,440.0,3,,,0,,5.0,1.0,2,3.0,0,3,8,4,60000,2
ID0016,1,GALLE,1,3.0,,4,1,-1,,1000.0,5,,,0,,2.0,1.0,1,2.0,0,3,2,4,85000,2
ID0017,1,GALLE,1,3.0,,6,1,-1,,800.0,4,,,0,,2.0,1.0,1,1.0,1,4,2,3,35000,2
ID0018,1,BORALASGAMUWA,1,3.0,,4,2,-1,,4000.0,7,,,0,,1.0,1.0,1,2.0,0,7,6,1,200000,1
ID0019,1,GALLE,1,3.0,,2,1,-1,,400.0,5,,,0,,6.0,2.0,1,2.0,0,5,4,2,80000,1
ID0020,1,GALLE,1,3.0,,3,1,-1,,3000.0,3,,,0,,6.0,1.0,10,2.0,0,5,3,2,30000,2
ID0021,2,GALLE,1,3.0,,3,2,-1,,3600.0,4,,,0,,1.0,1.0,1,2.0,0,5,3,2,50000,2
ID0022,1,AMBALANGODA,1,3.0,,6,2,-1,,150.0,4,,,0,,1.0,1.0,1,2.0,0,7,5,1,80000,1
ID0023,1,GALLE,1,3.0,,4,1,-1,,1400.0,2,,,0,,1.0,1.0,1,2.0,0,4,2,3,20000,2
ID0024,1,GALLE,1,3.0,,2,1,-1,,2300.0,2,,,0,,4.0,0.0,1,2.0,0,4,8,3,75000,2
ID0025,1,AMBALANGODA,1,3.0,,5,1,-1,,1500.0,3,,,0,,6.0,2.0,1,1.0,0,4,8,3,80000,2
ID0026,1,AMBALANGODA,1,3.0,,5,2,-1,,3000.0,5,,,0,,1.0,1.0,1,2.0,0,5,5,2,50000,2
ID0027,1,GALLE,1,3.0,,2,1,-1,,726.0,6,,,0,,4.0,2.0,5,1.0,0,5,2,3,100000,2
ID0028,1,AMBALANGODA,2,,,7,1,-1,,350.0,4,,1.0,0,,6.0,2.0,11,2.0,0,4,2,3,50000,2
ID0029,1,AMBALANGODA,1,3.0,,4,1,-1,,1300.0,3,,,0,,1.0,1.0,2,1.0,0,4,2,3,120000,2
ID0030,1,AMBALANGODA,1,3.0,,1,1,-1,,250.0,4,,,0,,6.0,2.0,9,2.0,0,4,2,3,15000,2
ID0031,1,AMBALANGODA,1,3.0,,5,1,-1,,560.0,3,,,0,,1.0,0.0,2,2.0,0,3,1,5,999999999,2
ID0032,1,GALLE,1,3.0,,4,1,-1,,600.0,4,,,0,,3.0,0.0,1,1.0,0,4,4,3,75000,2
ID0033,1,GALLE,1,3.0,,4,1,-1,,600.0,4,,,0,,4.0,0.0,1,3.0,0,4,4,3,40000,2
ID0034,1,GALLE,1,3.0,,3,1,-1,,1250.0,8,,,0,,1.0,0.0,1,2.0,0,3,1,5,60000,2
ID0035,1,GALLE,1,3.0,,6,2,-1,,414.0,6,,,1,3.0,1.0,0.0,1,2.0,1,4,2,3,25000,1
ID0036,1,KOLONNAWA,1,3.0,,5,5,6,1.0,440.0,4,,,0,,5.0,1.0,2,3.0,0,3,1,5,60000,2
ID0037,1,GALLE,1,3.0,,1,1,-1,,350.0,1,,,0,,6.0,2.0,4,1.0,0,4,1,4,30000,2
ID0038,1,GALLE,1,3.0,,4,2,-1,,99999.0,3,,,0,,1.0,2.0,10,2.0,0,4,2,3,25000,2
ID0039,1,MAHARAGAMA,1,3.0,,4,2,-1,,750.0,3,,,0,,1.0,1.0,2,2.0,0,5,3,2,100000,2
