household_ID,room_ID,light_ID,type_of_the_bulb,wattage_of_the_bulb,no_of_hours_bulbs_was_on_during_daytime_last_week,no_of_hours_bulbs_was_on_during_night_last_week
ID0001,I_1,I_1_L_1,3,5.0,0.0,2.0
ID0001,I_1,I_1_L_2,3,5.0,0.0,2.0
ID0001,I_1,I_1_L_3,3,5.0,0.0,2.0
ID0001,I_1,I_1_L_4,3,5.0,0.0,2.0
ID0001,I_2,I_2_L_1,2,5.0,0.0,0.25
ID0001,I_3,I_3_L_1,2,5.0,0.0,0.25
ID0001,I_4,I_4_L_1,2,5.0,0.0,0.25
ID0001,I_5,I_5_L_1,2,5.0,0.25,0.0
ID0001,I_6,I_6_L_1,2,5.0,2.0,1.0
ID0001,I_7,I_7_L_1,2,5.0,0.0,2.0
ID0002,I_1,I_1_L_1,3,18.0,0.0,14.0
ID0002,I_1,I_1_L_2,2,15.0,2.0,14.0
ID0002,I_1,I_1_L_3,2,21.0,0.0,14.0
ID0002,I_1,I_1_L_4,2,15.0,0.0,14.0
ID0002,I_1,I_1_L_5,2,15.0,0.0,14.0
ID0002,I_1,I_1_L_6,2,15.0,0.0,14.0
ID0002,I_2,I_2_L_1,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_2,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_3,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_4,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_5,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_6,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_7,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_8,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_9,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_10,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_11,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_12,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_13,2,120.0,0.0,14.0
ID0002,I_2,I_2_L_14,2,120.0,0.0,14.0
ID0002,I_3,I_3_L_1,2,120.0,0.0,14.0
ID0002,I_3,I_3_L_2,2,120.0,0.0,14.0
ID0002,I_3,I_3_L_3,2,120.0,0.0,14.0
ID0002,I_3,I_3_L_4,2,120.0,0.0,14.0
ID0002,I_3,I_3_L_5,2,120.0,0.0,14.0
ID0002,I_3,I_3_L_6,2,120.0,0.0,14.0
ID0002,I_4,I_4_L_1,2,120.0,0.0,14.0
ID0002,I_4,I_4_L_2,2,120.0,0.0,14.0
ID0002,I_4,I_4_L_3,2,120.0,0.0,14.0
ID0002,I_4,I_4_L_4,2,120.0,0.0,14.0
ID0002,I_4,I_4_L_5,2,120.0,0.0,14.0
ID0002,I_4,I_4_L_6,2,120.0,0.0,14.0
ID0002,I_5,I_5_L_1,2,120.0,0.0,14.0
ID0002,I_5,I_5_L_2,2,120.0,0.0,14.0
ID0002,I_5,I_5_L_3,2,120.0,0.0,14.0
ID0002,I_5,I_5_L_4,2,120.0,0.0,14.0
ID0002,I_5,I_5_L_5,2,120.0,0.0,14.0
ID0002,I_5,I_5_L_6,2,120.0,0.0,14.0
ID0002,I_6,I_6_L_1,2,120.0,14.0,14.0
ID0002,I_6,I_6_L_2,2,120.0,0.0,14.0
ID0002,I_6,I_6_L_3,2,120.0,0.0,14.0
ID0002,I_6,I_6_L_4,2,120.0,0.0,14.0
ID0002,I_6,I_6_L_5,2,120.0,0.0,14.0
ID0002,I_6,I_6_L_6,2,120.0,0.0,14.0
ID0002,I_7,I_7_L_1,2,120.0,0.0,14.0
ID0002,I_7,I_7_L_2,2,120.0,0.0,14.0
ID0002,I_7,I_7_L_3,2,120.0,0.0,14.0
ID0002,I_7,I_7_L_4,2,120.0,0.0,14.0
ID0002,I_7,I_7_L_5,2,120.0,0.0,14.0
ID0002,I_7,I_7_L_6,2,120.0,0.0,14.0
ID0003,I_1,I_1_L_1,3,7.0,7.0,7.0
ID0003,I_1,I_1_L_2,3,7.0,0.0,0.0
ID0003,I_2,I_2_L_1,3,7.0,5.0,35.0
ID0003,I_3,I_3_L_1,3,15.0,21.0,35.0
ID0003,I_4,I_4_L_1,3,9.0,12.0,70.0
